sample #,date,conce,change,point,depth,date2,landuse,soy_age,conce_running,jar_vol_mL,jar_vol_L,soil_mass_g,conversion_mgC_mLair,days_accum,C_evolv_mgC_gsoil_day,cumCO2
28,10/16/2014,14584.9,794.4,S03P6,0-10,4,soy,old,14584.9,943.08,0.943083126,99.98,0.000495868,7,0.0097,0.0097
29,10/16/2014,416.1,-85.8,S03P6,40-50,4,soy,old,416.1,973.03,0.973025934,99.99,0.000495868,7,0.0003,0.01
30,10/16/2014,500.7,-98.6,S03P6,190-200,4,soy,old,500.7,963.62,0.963623667,65.9736,0.000495868,7,0.0005,0.0105
32,10/16/2014,258.5,-103.8,FP1,90-100,4,forest,forest,258.5,913.78,0.913776095,99.98,0.000495868,7,0.0002,
34,10/16/2014,882.5,131.5,FP3,90-100,4,forest,forest,882.5,954.39,0.954391383,100.02,0.000495868,7,0.0006,
36,10/16/2014,389.3,-109.6,FP4,90-100,4,forest,forest,389.3,950.97,0.950972163,99.98,0.000495868,7,0.0003,
40,10/16/2014,359.2,-94.2,S03P1,90-100,4,soy,old,359.2,1041.32,1.041319278,100.01,0.000495868,7,0.0003,
42,10/16/2014,1154.9,207.7,S07P2,90-100,4,soy,young,1154.9,943.08,0.943083126,100.03,0.000495868,7,0.0008,
44,10/16/2014,420.3,-98.3,S08P3,90-100,4,soy,young,420.3,974.21,0.974213404,100.01,0.000495868,7,0.0003,
1,10/20/2014,25550.8,2640.1,FP1,0-10,5,forest,forest,48461.5,1042.67,1.042669422,99.94,0.000495868,11,0.0228,0.0228
2,10/20/2014,1143.4,680.6,FP1,40-50,5,forest,forest,1143.4,1013.71,1.013712393,85,0.000495868,11,0.0006,0.0234
3,10/20/2014,886,440.5,FP1,190-200,5,forest,forest,886,973.03,0.973025934,99.97,0.000495868,11,0.0004,0.0238
4,10/20/2014,29568.6,7522.8,FP3,0-10,5,forest,forest,51614.3,1011.16,1.011155328,100.02,0.000495868,11,0.0235,0.0235
5,10/20/2014,6514.5,1820.3,FP3,40-50,5,forest,forest,6514.5,952.11,0.952109333,100.01,0.000495868,11,0.0028,0.0263
6,10/20/2014,1229.6,682.2,FP3,190-200,5,forest,forest,1229.6,965.96,0.965958115,99.97,0.000495868,11,0.0005,0.0268
7,10/20/2014,27246,-2023.5,FP4,0-10,5,forest,forest,88148.6,973.03,0.973025934,59.98,0.000495868,11,0.0645,0.0645
8,10/20/2014,1213.7,551.8,FP4,40-50,5,forest,forest,1213.7,953.25,0.953249071,99.97,0.000495868,11,0.0005,0.065
9,10/20/2014,906,440.2,FP4,190-200,5,forest,forest,906,946.45,0.94644898,100.02,0.000495868,11,0.0004,0.0654
